marca,item_fuente,item_canonico,sku_master,familia_producto,subfamilia,tamano,unidad_base,categoria_fuente,sku_comparable
Popeyes,Coca Cola S/Azúcar 500ml,Coca Cola S/Azúcar 500ml,POPEYES_COCA_COLA_S_AZUCAR_500ML,Bebida,Complementos,,botella,Complementos,CMP_COCA_COLA
Popeyes,Inca Kola 500ml,Inca Kola 500ml,POPEYES_INCA_KOLA_500ML,Bebida,Complementos,,botella,Complementos,CMP_INCA_KOLA
Popeyes,Inca Kola S/Azúcar 500ml,Inca Kola S/Azúcar 500ml,POPEYES_INCA_KOLA_S_AZUCAR_500ML,Bebida,Complementos,,botella,Complementos,CMP_INCA_KOLA
Popeyes,Coca Cola 1.5L,Coca Cola 1.5L,POPEYES_COCA_COLA_1_5L,Bebida,Complementos,,botella,Complementos,CMP_COCA_COLA_1_5L
Popeyes,Coca Cola S/Azúcar 1.5L,Coca Cola S/Azúcar 1.5L,POPEYES_COCA_COLA_S_AZUCAR_1_5L,Bebida,Complementos,,botella,Complementos,CMP_COCA_COLA_1_5L
Popeyes,Inca Kola 1.5L,Inca Kola 1.5L,POPEYES_INCA_KOLA_1_5L,Bebida,Complementos,,botella,Complementos,CMP_INCA_KOLA_1_5L
Popeyes,San Luis con gas 625ml.,San Luis con gas 625ml.,POPEYES_SAN_LUIS_CON_GAS_625ML,Bebida,Complementos,,botella,Complementos,CMP_SAN_LUIS
Popeyes,San Luis sin gas 750ml.,San Luis sin gas 750ml.,POPEYES_SAN_LUIS_SIN_GAS_750ML,Bebida,Complementos,,botella,Complementos,CMP_SAN_LUIS
Popeyes,Pie de Manzana,Pie de Manzana,POPEYES_PIE_DE_MANZANA,Postre,Complementos,,unidad,Complementos,CMP_PIE_DE_MANZANA
Popeyes,Pie Dúo,Pie Dúo,POPEYES_PIE_DUO,Postre,Complementos,,unidad,Complementos,CMP_PIE_DUO
Popeyes,Regalo de Cumpleaños,Regalo de Cumpleaños,POPEYES_REGALO_DE_CUMPLEANOS,Complementos,Complementos,,unidad,Complementos,CMP_REGALO_DE_CUMPLEANOS
